,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,,,-56.0
1,-48.0,-44.0,-42.0
2,-45.0,-43.0,
3,-44.0,-42.0,-42.0
4,,,-54.0
5,,,-46.0
6,,-42.0,
7,-49.0,,
8,,,-55.0
9,-46.0,,
10,,-44.0,-43.0
11,-52.0,-44.0,
12,-44.0,,-43.0
13,-46.0,,
14,-45.0,,
15,,-41.0,-45.0
16,,-41.0,
17,-49.0,-40.0,-49.0
18,-58.0,-45.0,
19,-48.0,-39.0,
20,-52.0,-44.0,
21,,,-48.0
22,-49.0,-43.0,
23,-48.0,-45.0,-45.0
24,-48.0,-42.0,
25,-46.0,-45.0,-45.0
26,-53.0,,
27,,-43.0,-48.0
28,,-43.0,
29,-52.0,,-44.0
30,-51.0,-43.0,-46.0
31,-46.0,-43.0,-44.0
32,,-43.0,-48.0
33,,,-45.0
34,-50.0,,
35,-50.0,,-48.0
36,,-42.0,
37,-48.0,-46.0,-46.0
38,-46.0,,
39,-47.0,-45.0,-45.0
40,,-42.0,-46.0
41,-46.0,,-43.0
42,,-43.0,-46.0
43,-53.0,-43.0,
44,,,-48.0
45,,-44.0,
46,-46.0,,-44.0
47,-48.0,-43.0,
48,,,-43.0
49,-49.0,-43.0,
50,-44.0,-40.0,
51,,,
52,-44.0,,
53,,,-53.0
54,-48.0,-46.0,
55,-48.0,,
56,,-42.0,
57,-43.0,,-54.0
58,,,-48.0
59,-49.0,-45.0,-54.0
