,EC:81:F6:64:F0:86,E0:35:2F:E6:42:46,EC:BF:B3:25:D5:6C
0,-57.0,,-63.0
1,,-65.0,
2,,-65.0,-64.0
3,,,
4,,,
5,-59.0,-57.0,
6,,-57.0,-62.0
7,,-57.0,-63.0
8,,,-63.0
9,-57.0,,-61.0
10,-66.0,,-57.0
11,,,-65.0
12,,,-59.0
13,,-63.0,
14,,,
15,,,
16,-57.0,,
17,-63.0,,-58.0
18,-64.0,-59.0,
19,-58.0,,-59.0
20,,-67.0,-60.0
21,-64.0,,
22,-63.0,,
23,,,
24,-58.0,,
25,-61.0,,-61.0
26,-62.0,,-57.0
27,,,-57.0
28,-63.0,,-60.0
29,,,
30,-57.0,,-57.0
31,,,-56.0
32,-53.0,,-61.0
33,-58.0,,
34,-57.0,-54.0,
35,,-52.0,-51.0
36,-64.0,-57.0,
37,-65.0,-52.0,-62.0
38,,,
39,,-54.0,-64.0
40,,-52.0,-52.0
41,,-52.0,
42,-62.0,,
43,,,-70.0
44,-63.0,-53.0,
45,-54.0,,
46,,,-66.0
47,-68.0,-52.0,
48,,-52.0,
49,-59.0,-63.0,
50,-63.0,,-58.0
51,,-54.0,-61.0
52,,-56.0,
53,-55.0,,
54,-59.0,-59.0,
55,-52.0,-55.0,-51.0
56,,-53.0,-52.0
57,-58.0,,-54.0
58,,,-56.0
59,,,-57.0
